parametri,Profitto Netto,totale
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 1.2000000000000004}",4043.399999999837,428
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 2.1000000000000005}",4038.5999999999444,400
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 1.5000000000000004}",4030.7999999999697,388
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 1.7000000000000004}",4016.399999999863,340
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 1.5000000000000004}",4014.6000000000427,400
"{""perditaMassima"": 2.1000000000000005, ""vincitaMassima"": 2.800000000000001}",4012.800000000072,185
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 1.6000000000000003}",4011.6000000000145,397
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 1.1000000000000003}",3985.7999999999306,539
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 1.2000000000000004}",3983.999999999819,570
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 1.2000000000000004}",3978.5999999997794,433
"{""perditaMassima"": 2.200000000000001, ""vincitaMassima"": 1.6000000000000003}",3965.400000000008,329
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 2.000000000000001}",3958.799999999943,282
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 1.1000000000000003}",3949.20000000005,555
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 0.9000000000000001}",3934.799999999953,521
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 0.6000000000000001}",3934.199999999837,486
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 2.1000000000000005}",3926.399999999909,324
"{""perditaMassima"": 2.3000000000000007, ""vincitaMassima"": 2.500000000000001}",3917.999999999943,235
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 1.1000000000000003}",3903.599999999833,548
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 2.500000000000001}",3902.999999999947,251
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 2.800000000000001}",3895.1999999999734,251
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 2.1000000000000005}",3882.5999999998967,303
"{""perditaMassima"": 2.9000000000000012, ""vincitaMassima"": 2.500000000000001}",3881.39999999997,201
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 2.9000000000000012}",3877.1999999999884,318
"{""perditaMassima"": 0.2, ""vincitaMassima"": 1.3000000000000003}",3874.2000000001312,563
"{""perditaMassima"": 2.3000000000000007, ""vincitaMassima"": 2.400000000000001}",3859.199999999976,232
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 2.700000000000001}",3851.39999999993,386
"{""perditaMassima"": 2.700000000000001, ""vincitaMassima"": 2.700000000000001}",3849.599999999985,223
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 1.9000000000000006}",3842.399999999966,313
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 2.800000000000001}",3841.200000000002,383
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 2.1000000000000005}",3835.800000000001,260
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 1.8000000000000005}",3829.2000000000276,323
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 1.2000000000000004}",3807.599999999916,551
"{""perditaMassima"": 2.3000000000000007, ""vincitaMassima"": 2.200000000000001}",3803.999999999826,320
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 1.8000000000000005}",3798.6000000001104,286
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 1.1000000000000003}",3796.19999999987,492
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 1.1000000000000003}",3794.3999999999273,477
